
映像名称                       PID 会话名              会话#       内存使用 
cmd.exe                      62372 Console                    1      7,004 K
node.exe                     62332 Console                    1     78,772 K
MoNotificationUx.exe         70272 Console                    1     19,840 K
MoNotificationUx.exe         68452 Console                    1     17,052 K
firefox.exe                  61412 Console                    1     32,016 K
svchost.exe                  62208 Services                   0     18,276 K
backgroundTaskHost.exe       64908 Console                    1     70,108 K
RuntimeBroker.exe            15140 Console                    1     33,324 K
EpicOnlineServicesUserHel    58948 Console                    1     51,584 K
EpicOnlineServicesUserHel    57292 Console                    1     66,944 K
conhost.exe                  56812 Console                    1     14,784 K
firefox.exe                  65684 Console                    1     32,104 K
EpicOnlineServicesInstall    13824 Console                    1  1,074,604 K
pwsh.exe                     41164 Console                    1     95,728 K
kscc.exe                     65484 Console                    1    317,532 K
cmd.exe                      33108 Console                    1      7,096 K
conhost.exe                  65632 Console                    1      8,028 K
node.exe                     35212 Console                    1    124,056 K
svchost.exe                  46588 Services                   0     28,748 K
cmd.exe                      43032 Console                    1      7,004 K
node.exe                     25520 Console                    1     79,232 K
EpicGamesLauncher.exe        52348 Console                    1    426,356 K
EpicWebHelper.exe            71448 Console                    1    126,516 K
EpicWebHelper.exe            61532 Console                    1     45,856 K
EpicWebHelper.exe            42580 Console                    1     75,392 K
EpicWebHelper.exe            41704 Console                    1    464,348 K
firefox.exe                  65408 Console                    1     32,020 K
EpicWebHelper.exe             5496 Console                    1    420,672 K
EpicWebHelper.exe            64704 Console                    1     40,528 K
EpicWebHelper.exe            62964 Console                    1    231,480 K
smartscreen.exe              63616 Console                    1     13,092 K
TAgent-2.0.0-dev.1-x64-po    43164 Console                    1     24,960 K
TAgent.exe                   63672 Console                    1    203,284 K
svchost.exe                  61516 Services                   0      7,896 K
TAgent.exe                   35244 Console                    1    163,748 K
TAgent.exe                   18764 Console                    1     49,260 K
TAgent.exe                   40348 Console                    1    179,100 K
WmiPrvSE.exe                 63412 Services                   0     14,992 K
bash.exe                     26796 Console                    1      7,936 K
bash.exe                     56444 Console                    1     10,940 K
conhost.exe                  56104 Console                    1      7,776 K
powershell.exe               53492 Console                    1     78,632 K
conhost.exe                  68204 Console                    1      7,892 K
bash.exe                     65508 Console                    1      8,192 K
tasklist.exe                 65132 Console                    1     11,932 K
conda.exe                    70372 Console                    1      8,268 K
python.exe                   69264 Console                    1     49,104 K
git.exe                      51356 Console                    1      7,800 K
conhost.exe                  34588 Console                    1      7,708 K
cmd.exe                      66904 Console                    1      5,032 K
